IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms)
59.26.204.175,12297,80,False,FUK,Asia Pacific,JP,Fukuoka,80
14.54.36.172,39522,80,False,FUK,Asia Pacific,JP,Fukuoka,80
220.89.23.192,12462,443,True,FUK,Asia Pacific,JP,Fukuoka,80
59.12.232.18,21281,80,False,FUK,Asia Pacific,JP,Fukuoka,80
222.117.215.112,34322,443,True,FUK,Asia Pacific,JP,Fukuoka,80
59.23.4.1,32400,443,True,FUK,Asia Pacific,JP,Fukuoka,80
125.134.177.98,12129,443,True,FUK,Asia Pacific,JP,Fukuoka,80
59.19.185.150,12231,443,True,FUK,Asia Pacific,JP,Fukuoka,81
121.183.7.88,12132,443,True,FUK,Asia Pacific,JP,Fukuoka,81
210.179.10.99,20000,443,True,FUK,Asia Pacific,JP,Fukuoka,81
218.154.157.146,18245,443,True,FUK,Asia Pacific,JP,Fukuoka,81
125.135.57.243,12237,443,True,FUK,Asia Pacific,JP,Fukuoka,81
222.107.127.52,12548,443,True,FUK,Asia Pacific,JP,Fukuoka,81
118.41.59.28,12589,443,True,FUK,Asia Pacific,JP,Fukuoka,81
121.151.132.168,12491,80,False,FUK,Asia Pacific,JP,Fukuoka,81
218.150.8.58,12494,443,True,FUK,Asia Pacific,JP,Fukuoka,81
125.136.51.42,18061,80,False,FUK,Asia Pacific,JP,Fukuoka,81
222.104.209.76,35822,443,True,FUK,Asia Pacific,JP,Fukuoka,81
59.12.232.18,12349,443,True,FUK,Asia Pacific,JP,Fukuoka,81
121.175.182.146,11027,443,True,FUK,Asia Pacific,JP,Fukuoka,81
220.94.86.190,18081,443,True,FUK,Asia Pacific,JP,Fukuoka,82
121.181.132.45,12393,443,True,FUK,Asia Pacific,JP,Fukuoka,82
59.19.24.168,12209,443,True,FUK,Asia Pacific,JP,Fukuoka,82
221.152.7.191,12523,80,False,FUK,Asia Pacific,JP,Fukuoka,82
211.250.250.146,12474,80,False,FUK,Asia Pacific,JP,Fukuoka,83
175.203.9.28,12412,443,True,FUK,Asia Pacific,JP,Fukuoka,83
210.126.67.51,15672,443,True,FUK,Asia Pacific,JP,Fukuoka,83
118.45.214.244,25565,443,True,FUK,Asia Pacific,JP,Fukuoka,83
222.119.153.85,21261,80,False,FUK,Asia Pacific,JP,Fukuoka,83
14.39.160.106,12224,443,True,FUK,Asia Pacific,JP,Fukuoka,83
222.104.240.250,12019,443,True,FUK,Asia Pacific,JP,Fukuoka,83
118.34.215.97,17010,443,True,FUK,Asia Pacific,JP,Fukuoka,84
121.151.79.187,12369,443,True,FUK,Asia Pacific,JP,Fukuoka,84
112.187.59.195,16003,80,False,FUK,Asia Pacific,JP,Fukuoka,84
210.126.67.51,20443,443,True,FUK,Asia Pacific,JP,Fukuoka,84
121.147.163.168,16015,443,True,FUK,Asia Pacific,JP,Fukuoka,84
121.175.158.112,12191,443,True,FUK,Asia Pacific,JP,Fukuoka,84
59.12.64.243,12267,443,True,FUK,Asia Pacific,JP,Fukuoka,84
222.106.168.247,30083,443,True,FUK,Asia Pacific,JP,Fukuoka,84
222.108.106.148,11184,443,True,FUK,Asia Pacific,JP,Fukuoka,85
121.181.132.45,18096,443,True,FUK,Asia Pacific,JP,Fukuoka,85
211.33.238.198,30473,443,True,FUK,Asia Pacific,JP,Fukuoka,85
14.45.251.63,12562,443,True,FUK,Asia Pacific,JP,Fukuoka,85
221.144.105.77,10045,80,False,FUK,Asia Pacific,JP,Fukuoka,86
59.26.79.94,12121,443,True,FUK,Asia Pacific,JP,Fukuoka,86
14.46.72.102,12275,443,True,FUK,Asia Pacific,JP,Fukuoka,87
210.123.51.149,32102,443,True,FUK,Asia Pacific,JP,Fukuoka,87
121.148.26.45,12537,443,True,FUK,Asia Pacific,JP,Fukuoka,87
14.48.96.104,12340,443,True,FUK,Asia Pacific,JP,Fukuoka,87
121.166.98.53,12285,443,True,FUK,Asia Pacific,JP,Fukuoka,87
222.104.240.250,11371,443,True,FUK,Asia Pacific,JP,Fukuoka,87
119.193.100.144,12251,443,True,FUK,Asia Pacific,JP,Fukuoka,87
211.230.55.177,14400,443,True,FUK,Asia Pacific,JP,Fukuoka,87
119.202.158.65,21288,443,True,FUK,Asia Pacific,JP,Fukuoka,88
220.85.197.35,16075,80,False,FUK,Asia Pacific,JP,Fukuoka,88
119.201.73.27,12452,443,True,FUK,Asia Pacific,JP,Fukuoka,88
121.173.93.124,12436,80,False,FUK,Asia Pacific,JP,Fukuoka,88
218.150.189.108,12136,443,True,FUK,Asia Pacific,JP,Fukuoka,88
118.35.128.133,12114,443,True,FUK,Asia Pacific,JP,Fukuoka,88
175.203.154.83,12001,443,True,FUK,Asia Pacific,JP,Fukuoka,88
220.73.11.177,12421,443,True,FUK,Asia Pacific,JP,Fukuoka,89
222.97.200.37,11027,443,True,FUK,Asia Pacific,JP,Fukuoka,89
218.150.0.102,12301,443,True,FUK,Asia Pacific,JP,Fukuoka,89
222.99.156.159,12149,443,True,FUK,Asia Pacific,JP,Fukuoka,89
112.172.171.15,12138,443,True,FUK,Asia Pacific,JP,Fukuoka,89
169.211.205.20,12223,443,True,FUK,Asia Pacific,JP,Fukuoka,89
121.180.79.228,18031,80,False,FUK,Asia Pacific,JP,Fukuoka,89
59.23.99.153,12516,443,True,FUK,Asia Pacific,JP,Fukuoka,89
220.74.87.168,12577,443,True,FUK,Asia Pacific,JP,Fukuoka,89
112.172.38.93,12133,443,True,FUK,Asia Pacific,JP,Fukuoka,89
119.193.217.1,12364,443,True,FUK,Asia Pacific,JP,Fukuoka,89
222.121.86.236,16993,443,True,FUK,Asia Pacific,JP,Fukuoka,89
118.44.249.248,16041,443,True,FUK,Asia Pacific,JP,Fukuoka,90
118.44.65.96,16102,443,True,FUK,Asia Pacific,JP,Fukuoka,90
112.165.41.122,11288,443,True,FUK,Asia Pacific,JP,Fukuoka,90
119.205.15.124,23424,443,True,FUK,Asia Pacific,JP,Fukuoka,90
119.193.12.243,12571,443,True,FUK,Asia Pacific,JP,Fukuoka,90
121.128.137.21,21254,443,True,FUK,Asia Pacific,JP,Fukuoka,90
121.139.47.94,21305,80,False,FUK,Asia Pacific,JP,Fukuoka,90
220.89.23.192,12297,443,True,FUK,Asia Pacific,JP,Fukuoka,90
218.155.92.59,12340,443,True,FUK,Asia Pacific,JP,Fukuoka,90
175.196.105.220,10048,443,True,FUK,Asia Pacific,JP,Fukuoka,90
14.53.187.234,29984,443,True,FUK,Asia Pacific,JP,Fukuoka,90
59.2.226.242,12551,443,True,FUK,Asia Pacific,JP,Fukuoka,90
218.154.126.196,16443,443,True,FUK,Asia Pacific,JP,Fukuoka,91
121.181.132.45,18049,443,True,FUK,Asia Pacific,JP,Fukuoka,91
183.106.105.25,12176,443,True,FUK,Asia Pacific,JP,Fukuoka,91
112.165.86.48,12217,443,True,FUK,Asia Pacific,JP,Fukuoka,91
59.5.198.233,11211,443,True,FUK,Asia Pacific,JP,Fukuoka,91
218.149.122.56,36622,443,True,FUK,Asia Pacific,JP,Fukuoka,91
14.33.202.39,21281,443,True,FUK,Asia Pacific,JP,Fukuoka,91
221.166.152.178,10012,443,True,FUK,Asia Pacific,JP,Fukuoka,91
121.158.81.135,12106,443,True,FUK,Asia Pacific,JP,Fukuoka,91
183.98.186.160,22022,443,True,FUK,Asia Pacific,JP,Fukuoka,91
112.185.36.80,12539,443,True,FUK,Asia Pacific,JP,Fukuoka,92
211.33.238.198,12330,443,True,FUK,Asia Pacific,JP,Fukuoka,92
222.97.200.37,12329,443,True,FUK,Asia Pacific,JP,Fukuoka,92
121.167.57.237,21320,443,True,FUK,Asia Pacific,JP,Fukuoka,92
121.191.9.243,12426,443,True,FUK,Asia Pacific,JP,Fukuoka,92
222.121.86.236,15831,443,True,FUK,Asia Pacific,JP,Fukuoka,92
175.206.121.39,10250,443,True,FUK,Asia Pacific,JP,Fukuoka,92
125.140.167.153,20100,443,True,FUK,Asia Pacific,JP,Fukuoka,92
221.165.128.234,37522,443,True,FUK,Asia Pacific,JP,Fukuoka,92
220.124.116.193,20060,80,False,FUK,Asia Pacific,JP,Fukuoka,92
175.198.138.168,10013,443,True,FUK,Asia Pacific,JP,Fukuoka,93
220.85.99.131,36022,80,False,FUK,Asia Pacific,JP,Fukuoka,93
59.3.146.117,16992,443,True,FUK,Asia Pacific,JP,Fukuoka,93
211.38.90.108,12370,443,True,FUK,Asia Pacific,JP,Fukuoka,93
118.35.128.133,12410,443,True,FUK,Asia Pacific,JP,Fukuoka,93
211.196.165.217,12471,443,True,FUK,Asia Pacific,JP,Fukuoka,93
14.56.226.68,12202,443,True,FUK,Asia Pacific,JP,Fukuoka,93
211.55.238.121,18014,443,True,FUK,Asia Pacific,JP,Fukuoka,93
221.155.32.108,18556,443,True,FUK,Asia Pacific,JP,Fukuoka,93
59.1.152.51,15672,443,True,FUK,Asia Pacific,JP,Fukuoka,93
128.134.185.230,12285,443,True,FUK,Asia Pacific,JP,Fukuoka,93
183.106.217.167,18200,443,True,FUK,Asia Pacific,JP,Fukuoka,94
14.35.82.154,32001,443,True,FUK,Asia Pacific,JP,Fukuoka,94
121.131.179.202,10004,443,True,FUK,Asia Pacific,JP,Fukuoka,94
61.80.106.206,12454,443,True,FUK,Asia Pacific,JP,Fukuoka,94
121.128.137.21,12467,443,True,FUK,Asia Pacific,JP,Fukuoka,94
211.218.242.52,12337,443,True,FUK,Asia Pacific,JP,Fukuoka,94
121.175.63.10,16026,443,True,FUK,Asia Pacific,JP,Fukuoka,94
220.125.223.230,20256,80,False,FUK,Asia Pacific,JP,Fukuoka,94
221.151.3.150,10000,443,True,FUK,Asia Pacific,JP,Fukuoka,94
121.165.48.234,35153,80,False,FUK,Asia Pacific,JP,Fukuoka,94
59.12.232.18,12214,443,True,FUK,Asia Pacific,JP,Fukuoka,94
221.144.200.91,12278,443,True,FUK,Asia Pacific,JP,Fukuoka,94
211.225.156.77,12406,443,True,FUK,Asia Pacific,JP,Fukuoka,95
211.106.58.47,10243,443,True,FUK,Asia Pacific,JP,Fukuoka,95
210.179.211.87,12276,443,True,FUK,Asia Pacific,JP,Fukuoka,95
112.164.53.216,36722,443,True,FUK,Asia Pacific,JP,Fukuoka,95
220.124.116.193,23084,443,True,FUK,Asia Pacific,JP,Fukuoka,95
118.40.189.179,11480,443,True,FUK,Asia Pacific,JP,Fukuoka,95
222.99.156.159,12322,443,True,FUK,Asia Pacific,JP,Fukuoka,95
175.193.62.86,12165,443,True,FUK,Asia Pacific,JP,Fukuoka,96
220.120.102.93,12206,80,False,FUK,Asia Pacific,JP,Fukuoka,96
211.225.155.35,12352,443,True,FUK,Asia Pacific,JP,Fukuoka,96
220.125.141.121,12162,443,True,FUK,Asia Pacific,JP,Fukuoka,97
211.230.167.207,12585,443,True,FUK,Asia Pacific,JP,Fukuoka,97
121.143.87.212,12382,443,True,FUK,Asia Pacific,JP,Fukuoka,97
59.1.166.218,21244,443,True,FUK,Asia Pacific,JP,Fukuoka,97
119.207.99.81,14402,443,True,FUK,Asia Pacific,JP,Fukuoka,97
121.152.121.93,12180,8443,True,FUK,Asia Pacific,JP,Fukuoka,97
112.187.59.195,12341,443,True,FUK,Asia Pacific,JP,Fukuoka,98
221.147.119.6,14330,443,True,FUK,Asia Pacific,JP,Fukuoka,98
211.218.242.52,21247,443,True,FUK,Asia Pacific,JP,Fukuoka,98
121.163.243.185,21243,443,True,FUK,Asia Pacific,JP,Fukuoka,98
218.144.184.196,12129,443,True,FUK,Asia Pacific,JP,Fukuoka,98
119.203.153.186,12119,443,True,FUK,Asia Pacific,JP,Fukuoka,98
118.41.71.28,17000,443,True,FUK,Asia Pacific,JP,Fukuoka,98
119.205.15.124,12158,443,True,FUK,Asia Pacific,JP,Fukuoka,99
121.163.116.208,16080,443,True,FUK,Asia Pacific,JP,Fukuoka,99
211.107.44.18,16073,443,True,FUK,Asia Pacific,JP,Fukuoka,99
211.106.58.47,12171,443,True,FUK,Asia Pacific,JP,Fukuoka,99
59.21.231.2,12114,443,True,FUK,Asia Pacific,JP,Fukuoka,100
220.87.102.56,12410,80,False,FUK,Asia Pacific,JP,Fukuoka,100
121.172.22.113,35722,443,True,FUK,Asia Pacific,JP,Fukuoka,100
59.8.19.164,38022,443,True,FUK,Asia Pacific,JP,Fukuoka,100
61.80.81.59,27017,443,True,FUK,Asia Pacific,JP,Fukuoka,100
121.174.200.92,12416,443,True,FUK,Asia Pacific,JP,Fukuoka,100
211.217.110.197,10090,443,True,FUK,Asia Pacific,JP,Fukuoka,100
14.53.187.234,10251,443,True,FUK,Asia Pacific,JP,Fukuoka,100
183.99.179.42,12450,443,True,FUK,Asia Pacific,JP,Fukuoka,100
59.21.167.152,16060,443,True,FUK,Asia Pacific,JP,Fukuoka,101
125.128.31.125,12222,443,True,FUK,Asia Pacific,JP,Fukuoka,101
119.193.12.243,11110,443,True,FUK,Asia Pacific,JP,Fukuoka,101
121.175.182.146,20900,443,True,FUK,Asia Pacific,JP,Fukuoka,101
220.85.254.226,12250,443,True,FUK,Asia Pacific,JP,Fukuoka,101
118.43.114.160,16030,443,True,FUK,Asia Pacific,JP,Fukuoka,101
168.126.210.143,16021,443,True,FUK,Asia Pacific,JP,Fukuoka,101
175.203.156.3,33922,443,True,FUK,Asia Pacific,JP,Fukuoka,101
211.38.230.31,12244,443,True,FUK,Asia Pacific,JP,Fukuoka,102
211.217.31.160,12582,443,True,FUK,Asia Pacific,JP,Fukuoka,102
222.113.18.214,17020,80,False,FUK,Asia Pacific,JP,Fukuoka,102
119.200.192.118,16002,443,True,FUK,Asia Pacific,JP,Fukuoka,102
119.193.12.243,12419,443,True,FUK,Asia Pacific,JP,Fukuoka,102
121.128.161.235,15672,443,True,FUK,Asia Pacific,JP,Fukuoka,102
121.182.138.37,16043,443,True,FUK,Asia Pacific,JP,Fukuoka,102
