IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
45.136.199.77,4,4,0.00,265.51,0.00
5.181.158.96,4,4,0.00,278.54,0.00
84.32.230.88,4,4,0.00,280.47,0.00
152.67.65.83,4,4,0.00,282.81,0.00
143.47.182.32,4,4,0.00,287.02,0.00
34.159.208.219,4,4,0.00,292.21,0.00
